id,text,label
152,You can't trust your own judgment — you never could.,1
153,You're acting like a child right now.,1
154,You have no basis for feeling that way.,1
155,You are completely wrong about what happened.,1
156,That is NOT what I said and you know it.,1
157,You have no idea what you're talking about.,1
158,You never make any sense.,1
159,"I didn't see it that way, but I get where you're coming from.",0
160,We both deserve to feel heard in this conversation.,0
161,I never meant it that way — you misinterpreted everything.,1
162,There is no way that happened the way you think.,1
163,Your memory is unreliable and you know it.,1
164,You're just trying to start a fight.,1
165,I'm not trying to dismiss what you experienced.,0
166,I hear that you're frustrated and I want to help.,0
167,You're remembering it wrong on purpose.,1
168,I'm open to talking about what upset you.,0
169,You're making this into something it isn't.,1
170,I care about your wellbeing and want to fix this.,0
171,"I didn't mean to hurt you, but I hear that I did.",0
172,We both seem to remember this differently.,0
173,"I think honesty is important here, so let me share my truth.",0
174,You always turn things around on me.,1
175,Everyone thinks you're overreacting.,1
176,"I never said that, check your own texts.",1
177,"Nobody else has a problem with this, just you.",1
178,I think there might be a misunderstanding here.,0
179,I think we just need to talk this out calmly.,0
180,Thank you for telling me how you feel.,0
181,You always have to be the victim.,1
182,You're not as smart as you think you are.,1
183,You always do this — make things up.,1
184,You're being way too sensitive about this.,1
185,You're making yourself the victim again.,1
186,Can you explain what upset you about that moment?,0
187,"That's a fair point, let me think about that.",0
188,I don't want this to come between us.,0
189,Your feelings matter and I take them seriously.,0
190,You're delusional if you think that happened.,1
191,Can we both agree to listen without interrupting?,0
192,Let's just slow down and figure out what actually happened.,0
193,That never happened and you know it.,1
194,You're the only one who thinks that happened.,1
195,I think we should both share our perspectives.,0
196,Your feelings don't need to be justified to be real.,0
197,Let's both share what we remember without judgment.,0
198,"You misheard me, you always mishear me.",1
199,You're always twisting what I say to win arguments.,1
200,I think both of us have valid points here.,0
201,You always see the negative in everything.,1
202,You see problems where there are none.,1
203,I understand why you feel that way.,0
204,"I'm genuinely sorry, I didn't realize how that came across.",0
205,You're overreacting as usual.,1
206,I think talking to someone together might help us.,0
207,That's not how any of this works — you just don't get it.,1
208,You're lying to yourself because you can't handle the truth.,1
209,You have a habit of misremembering things.,1
210,You've always had this problem with reality.,1
211,I'm not dismissing your experience at all.,0
212,This is exactly the kind of thing you do — create drama.,1
